position,rank,name,uri,imageUri,industry,country,revenue,marketValue,headquarters,state,ceo,thumbnail,profits,assets,squareImage
378,378,Monsanto,monsanto,monsanto,Specialized Chemicals,United States,14458.0,50934.0,Missouri,Missouri,Hugh M. Grant,,1919.0,21373.0,
379,379,Mastercard,mastercard,mastercard,Consumer Financial Services,United States,10776.0,121331.0,New York,New York,Ajay Banga,http://specials-images.forbesimg.com/imageserve/580fad3f31358e2383161907/280x425.jpg?fit=scale&background=000000,4059.0,18675.0,http://specials-images.forbesimg.com/imageserve/58010ecd4bbe6f19f2b53510/416x416.jpg?background=000000&cropX1=993&cropX2=3651&cropY1=608&cropY2=3264
380,380,Femsa,femsa,femsa,Beverages,Mexico,20897.0,33098.0,Mexico,,Carlos Salazar Lomelín,,1136.0,26485.0,
381,380,PayPal,paypal,paypal,Consumer Financial Services,United States,10795.0,51673.0,California,California,Daniel H. Schulman,,1401.0,33103.0,
382,382,Progressive,progressive,progressive,Property & Casualty Insurance,United States,23504.0,22824.0,Ohio,Ohio,Tricia Griffith,,1031.0,34335.0,
383,383,Svenska Handelsbanken,svenska-handelsbanken,svenska-handelsbanken,Major Banks,Sweden,6360.0,25853.0,Sweden,,Anders Bouvin,,1897.3,289234.0,
384,384,Mitsui Fudosan,mitsui-fudosan,mitsui-fudosan,Real Estate,Japan,14909.0,21077.0,Japan,,Hiromichi Masanobu,,1202.2,46722.0,
385,385,SEB,seb,seb,Major Banks,Sweden,7712.0,23761.0,Sweden,,Johan Torgeby,,1240.2,288471.0,
386,386,Bank Rakyat Indonesia,bank-rakyat-indonesia,bank-rakyat-indonesia,Regional Banks,Indonesia,8291.0,24166.0,Indonesia,,Suprajarto,,1969.5,74496.0,
387,387,Texas Instruments,texas-instruments,texas-instruments,Semiconductors,United States,13370.0,80501.0,Texas,Texas,Richard K. Templeton,,3417.0,16431.0,
388,388,Wilmar International,wilmar-international,wilmar-international,Food Processing,Singapore,41428.0,16144.0,Singapore,,Khoon Hong Kuok,,984.0,37032.0,
389,389,Daiwa House Industry,daiwa-house-industry,daiwa-house-industry,Construction Services,Japan,31891.0,19056.0,Japan,,Takeo Higuchi,,1160.6,29602.0,
390,390,Baidu,baidu,baidu,Computer Services,China,10591.0,59921.0,China,,Yan Hong Li,http://specials-images.forbesimg.com/imageserve/5797bc094bbe6f17e8fbac5c/280x425.jpg?fit=scale&background=000000,1738.1,26189.0,http://specials-images.forbesimg.com/imageserve/5797bc094bbe6f17e8fbac5c/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
391,390,Consolidated Edison,consolidated-edison,consolidated-edison,Electric Utilities,United States,12062.0,23756.0,New York,New York,John J. McAvoy,,1246.0,48255.0,
392,390,Maybank,maybank,maybank,Regional Banks,Malaysia,7630.0,20661.0,Malaysia,,Abdul Farid bin Alias,,1627.7,164056.0,
393,393,DISH Network,dish-network,dish-network,Broadcasting & Cable,United States,15095.0,29110.0,Colorado,Colorado,Charles William Ergen,,1449.9,28230.0,
394,394,Citic Securities,citic-securities,citic-securities,Investment Services,China,7599.0,27907.0,China,,Ming Hui Yang,,1561.4,85969.0,
395,395,American Electric,american-electric,american-electric,Electric Utilities,United States,16230.0,33102.0,Ohio,Ohio,Nicholas K. Akins,,613.4,66221.0,
396,396,Suzuki Motor,suzuki-motor,suzuki-motor,Auto & Truck Manufacturers,Japan,28318.0,19945.0,Japan,,Toshihiro Suzuki,,1359.8,25885.0,
397,397,VTB Bank,vtb-bank,vtb-bank,Regional Banks,Russia,19517.0,14861.0,Russia,,Andrey Leonidovich Kostin,,698.6,206172.0,
398,398,Metallurgical Corp of China,metallurgical-corp-of-china,metallurgical-corp-of-china,Construction Services,China,32438.0,15403.0,China,,Wen Guo,,806.2,54344.0,
399,399,Petrobras,petrobras,petrobras,Oil & Gas Operations,Brazil,81068.0,61278.0,Brazil,,Pedro Pullen Parente,,-4252.7,247318.0,
400,400,Norfolk Southern,norfolk-southern,norfolk-southern,Railroads,United States,9888.0,36012.0,Virginia,Virginia,James A. Squires,,1663.0,34892.0,
401,401,TJX Cos,tjx-cos,tjx-cos,Apparel/Footwear Retail,United States,33184.0,49123.0,Massachusetts,Massachusetts,Ernie L. Herrman,,2298.2,12884.0,
402,402,Investor AB,investor-ab,investor-ab,Investment Services,Sweden,7269.0,32186.0,Sweden,,Johan Patrik Lennart Forssell,,3932.0,40725.0,
403,403,American International Group,american-international-group,american-international-group,Diversified Insurance,United States,52367.0,60086.0,New York,New York,Peter D. Hancock,,-849.0,498264.0,
404,404,Sempra Energy,sempra-energy,sempra-energy,Natural Gas Utilities,United States,10198.0,27486.0,California,California,Debra L. Reed,,1337.0,47786.0,
405,405,International Airlines,international-airlines,international-airlines,Airline,United Kingdom,24997.0,13687.0,United Kingdom,,William Matthew Walsh,,2180.0,28872.0,
406,405,SSE,sse,sse,Electric Utilities,United Kingdom,37200.0,18712.0,United Kingdom,,Alistair Phillips-Davies,,1056.0,27833.0,
407,407,eBay,ebay,ebay,Internet & Catalog Retail,United States,8979.0,36599.0,California,California,Devin N. Wenig,http://specials-images.forbesimg.com/imageserve/580f977fa7ea435b91b076f6/280x425.jpg?fit=scale&background=000000,7266.0,23847.0,http://specials-images.forbesimg.com/imageserve/57ffd6bda7ea4357a3e02509/416x416.jpg?background=000000&cropX1=690&cropX2=4437&cropY1=0&cropY2=3744
408,408,NTPC,ntpc,ntpc,Electric Utilities,India,12202.0,21533.0,India,,Gurdeep Singh,,1555.3,38665.0,
409,409,Old Mutual,old-mutual,old-mutual,Investment Services,United Kingdom,22086.0,11724.0,United Kingdom,,Bruce Hemphill,,769.1,208149.0,
410,410,Magna International,magna-international,magna-international,Auto & Truck Parts,Canada,36447.0,15300.0,Canada,,Donald Walker,,2029.7,22566.0,
411,411,China Yangtze Power,china-yangtze-power,china-yangtze-power,Electric Utilities,China,6457.0,42318.0,China,,Ding Zhang,,2810.7,45323.0,
412,411,NN Group,nn-group,no-pic,Life & Health Insurance,Netherlands,15613.0,10309.0,Netherlands,,Eilard Friese,,1278.8,177487.0,
413,413,Sumitomo Mitsui Trust,sumitomo-mitsui-trust,sumitomo-mitsui-trust,Regional Banks,Japan,9197.0,12827.0,Japan,,Hitoshi Tsunekage,,1544.7,548179.0,
414,414,General Mills,general-mills,general-mills,Food Processing,United States,15741.0,33214.0,Minnesota,Minnesota,Kendall J. Powell,,1628.2,21670.0,
415,414,Talanx,talanx,talanx,Diversified Insurance,Germany,34716.0,8916.0,Germany,,Herbert K. Haas,,1003.3,158188.0,
416,416,Booking Holdings,booking,booking,Business & Personal Services,United States,10743.0,87009.0,Connecticut,Connecticut,Glenn D. Fogel,http://specials-images.forbesimg.com/imageserve/5a9830664bbe6f0fa82707bf/280x425.jpg?fit=scale&background=000000,2135.0,19839.0,//specials-images.forbesimg.com/imageserve/5a9830664bbe6f0fa82707bf/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
417,417,EXOR,exor,exor,Investment Services,Italy,152564.0,11944.0,Italy,,John Elkann,,482.6,192992.0,
418,417,Glencore International,glencore-international,glencore-international,Diversified Metals & Mining,Switzerland,153691.0,57278.0,Switzerland,,Ivan Glasenberg,,-453.3,124600.0,
419,419,Vodafone,vodafone,vodafone,Telecommunications services,United Kingdom,60839.0,67036.0,United Kingdom,,Vittorio Amedeo Colao,,-9263.8,175683.0,
420,420,Huaneng Power International,huaneng-power-international,huaneng-power-international,Electric Utilities,China,16942.0,14429.0,China,,Stuart Thomson Gulliver,,1343.3,44524.0,
421,421,Standard Bank Group,standard-bank-group,standard-bank-group,Regional Banks,South Africa,8612.0,15938.0,South Africa,,Ben J. Kruger,,1539.0,142910.0,
422,422,Swiss Life Holding,swiss-life-holding,swiss-life-holding,Life & Health Insurance,Switzerland,19544.0,10245.0,Switzerland,,Markus Leibundgut,,935.9,196961.0,
423,423,FirstRand,firstrand,firstrand,Major Banks,South Africa,8394.0,18198.0,South Africa,,Johannes Petrus Burger,,1656.0,86325.0,
424,424,Sysco,sysco,sysco,Food Retail,United States,53077.0,27978.0,Texas,Texas,"Bill DeLaney, III",,1031.9,17630.0,
425,425,International Paper,international-paper,international-paper,Paper & Paper Products,United States,21079.0,20772.0,Tennessee,Tennessee,Mark S. Sutton,,904.0,33345.0,
426,425,Vivendi,vivendi,vivendi,Telecommunications services,France,11968.0,24170.0,France,,Arnaud Nicolas de Puyfontaine,,1389.4,34137.0,
427,427,Kimberly-Clark,kimberly-clark,kimberly-clark,Household/Personal Care,United States,18202.0,46721.0,Texas,Texas,Thomas J. Falk,http://specials-images.forbesimg.com/imageserve/5ae76fc9a7ea4312798324e5/280x425.jpg?fit=scale&background=000000,2166.0,14602.0,//specials-images.forbesimg.com/imageserve/5ae76fc9a7ea4312798324e5/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
428,428,National Commercial Bank,national-commercial-bank,national-commercial-bank,Regional Banks,Saudi Arabia,6143.0,20641.0,Saudi Arabia,,Saeed bin Mohammed Al-Ghamdi,,2484.0,117675.0,
429,429,Erste Group Bank,erste-group-bank,erste-group-bank,Major Banks,Austria,9248.0,13515.0,Austria,,Andreas Treichl,,1380.4,220843.0,
430,430,Baoshan Iron & Steel,baoshan-iron-steel,baoshan-iron-steel,Iron & Steel,China,26752.0,21434.0,China,,Zhan Liu,,666.7,40011.0,
431,431,Eni,eni,eni,Oil & Gas Operations,Italy,61599.0,58229.0,Italy,,Claudio Descalzi,,-1619.5,135884.0,
432,431,Saudi Electricity,saudi-electricity,saudi-electricity,Electric Utilities,Saudi Arabia,13275.0,26597.0,Saudi Arabia,,Ziad bin Mohammed Al-Shiha,,561.1,107407.0,
433,433,Corning,corning,corning,Communications Equipment,United States,9388.0,24854.0,New York,New York,Wendell P. Weeks,,3695.0,27899.0,
434,434,Daikin Industries,daikin-industries,daikin-industries,Construction Materials,Japan,18522.0,28375.0,Japan,,Masanori Togawa,,1431.7,20597.0,
435,435,Mitsubishi Chemical,mitsubishi-chemical,mitsubishi-chemical,Diversified Chemicals,Japan,31798.0,11067.0,Japan,,Yoshimitsu Kobayashi,,1350.9,38052.0,
436,436,Becton Dickinson,becton-dickinson,becton-dickinson,Medical Equipment & Supplies,United States,12418.0,39183.0,New Jersey,New Jersey,Vincent A. Forlenza,,1309.0,24318.0,
437,437,SK Innovation,sk-innovation,sk-innovation,Oil & Gas Operations,South Korea,34064.0,13513.0,South Korea,,Chul-Khil Chung,,1440.6,26976.0,
438,438,Humana,humana,humana,Managed Health Care,United States,54379.0,30408.0,Kentucky,Kentucky,Bruce D. Broussard,http://specials-images.forbesimg.com/imageserve/5a33f2b431358e749fd321af/280x425.jpg?fit=scale&background=000000,594.0,25812.0,//specials-images.forbesimg.com/imageserve/5a33f2b431358e749fd321af/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
439,439,Emerson Electric,emerson-electric,emerson-electric,Electrical Equipment,United States,17202.0,38291.0,Missouri,Missouri,David N. Farr,,1509.0,17471.0,
440,440,Nippon Steel & Sumitomo Metal,nippon-steel-sumitomo-metal,nippon-steel-sumitomo-metal,Iron & Steel,Japan,41630.0,20227.0,Japan,,Shoji Muneoka,,476.7,54559.0,
441,441,Deutsche Bank,deutsche-bank,deutsche-bank,Major Banks,Germany,44283.0,34005.0,Germany,,John Cryan,,-1856.2,1686579.0,
442,442,Toyota Industries,toyota-industries,toyota-industries,Auto & Truck Parts,Japan,20017.0,14838.0,Japan,,Tetsuro Toyoda,,1082.5,38596.0,
443,443,Pernod Ricard,pernod-ricard,pernod-ricard,Beverages,France,9718.0,31356.0,France,,Alexandre Ricard,,1397.1,33490.0,
444,444,Aon,aon,aon,Insurance Brokers,United Kingdom,11623.0,31418.0,United Kingdom,,Gregory C. Case,,1396.0,26615.0,
445,445,IntercontinentalExchange,intercontinentalexchange,intercontinentalexchange,Investment Services,United States,5958.0,36185.0,Georgia,Georgia,Jeffrey Craig Sprecher,,1422.0,82003.0,
446,446,Stryker,stryker,stryker,Medical Equipment & Supplies,United States,11325.0,48787.0,Michigan,Michigan,Kevin A. Lobo,,1647.0,20435.0,
447,447,Fujifilm Holdings,fujifilm-holdings,fujifilm-holdings,Consumer Electronics,Japan,21655.0,18097.0,Japan,,Shigetaka Komori,,1066.2,28578.0,
448,448,Fosun International,fosun-international,fosun-international,Iron & Steel,China,11116.0,13135.0,China,,Qun Bin Wang,,1542.5,70045.0,
449,449,Sony,sony,sony,Consumer Electronics,Japan,69242.0,40441.0,Japan,,Kazuo Hirai,http://specials-images.forbesimg.com/imageserve/580fb80331358e23831619c0/280x425.jpg?fit=scale&background=000000,-393.0,151713.0,http://specials-images.forbesimg.com/imageserve/580fb80331358e23831619c0/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
450,450,Chubu Electric Power,chubu-electric-power,chubu-electric-power,Electric Utilities,Japan,24170.0,10012.0,Japan,,Akihisa Mizuno,,1467.9,45632.0,
451,451,Las Vegas Sands,las-vegas-sands,las-vegas-sands,Casinos & Gaming,United States,11410.0,44623.0,Nevada,Nevada,Sheldon Gary Adelson,,1670.0,20469.0,
452,452,Xcel Energy,xcel-energy,xcel-energy,Electric Utilities,United States,11104.0,22545.0,Minnesota,Minnesota,"Benjamin G. S. Fowke, III",,1123.4,41155.0,
453,453,Fifth Third Bancorp,fifth-third-bancorp,fifth-third-bancorp,Regional Banks,United States,6701.0,18773.0,Ohio,Ohio,Gregory D. Carmichael,,1550.0,142177.0,
454,454,Bouygues,bouygues,bouygues,Construction Services,France,35142.0,14468.0,France,,Martin Bouygues,,809.7,36762.0,
455,455,ENGIE,engie,no-pic,Electric Utilities,France,73716.0,34776.0,France,,Isabelle Kocher,,-459.1,167934.0,
456,456,Steinhoff International,steinhoff-international,steinhoff-international,Furniture & Fixtures,Netherlands,14487.0,21094.0,Netherlands,,Markus Johannes Jooste,,1293.5,27486.0,
457,457,Wheelock,wheelock-co,wheelock-co,Real Estate,Hong Kong,7804.0,16714.0,Hong Kong,,Chun-Kuen Woo,,2099.1,67126.0,
458,458,Marsh & McLennan,marsh-mclennan,marsh-mclennan,Insurance Brokers,United States,13199.0,37836.0,New York,New York,Daniel S. Glaser,,1768.0,18190.0,
459,459,CBS,cbs,cbs,Broadcasting & Cable,United States,13166.0,29499.0,New York,New York,Leslie Moonves,,1261.0,24238.0,
460,460,Fujitsu,fujitsu,fujitsu,Computer Hardware,Japan,41705.0,12479.0,Japan,,Masami Yamamoto,,1193.4,27104.0,
461,461,Statoil,statoil,statoil,Oil & Gas Operations,Norway,45665.0,56240.0,Norway,,Eldar Sætre,,-2892.6,104530.0,
462,461,Wesfarmers,wesfarmers,wesfarmers,Food Retail,Australia,50033.0,37822.0,Australia,,Richard J. B. Goyder,,439.3,29977.0,
463,463,Axis Bank,axis-bank,axis-bank,Regional Banks,India,7844.0,18788.0,India,,Shikha Sharma,,1275.3,80367.0,
464,463,HeidelbergCement,heidelbergcement,heidelbergcement,Construction Materials,Germany,16776.0,18546.0,Germany,,Bernd Scheifele,,781.5,40449.0,
465,465,Illinois Tool Works,illinois-tool-works,illinois-tool-works,Other Industrial Equipment,United States,13599.0,45535.0,Illinois,Illinois,Ernest Scott Santi,,2035.0,15201.0,
466,466,Formosa Petrochemical,formosa-petrochemical,formosa-petrochemical,Oil & Gas Operations,Taiwan,16935.0,33596.0,Taiwan,,Ming Tsao,,2349.2,14036.0,
467,467,Marriott International,marriott-international,marriott-international,Hotels & Motels,United States,17072.0,34881.0,Maryland,Maryland,Arne M. Sorenson,,780.0,24140.0,
468,468,Adidas,adidas,adidas,Apparel/Accessories,Germany,21340.0,39605.0,Germany,,Kasper Bo Rørsted,http://specials-images.forbesimg.com/imageserve/580a34b431358e238315ebe2/280x425.jpg?fit=scale&background=000000,1126.1,16007.0,http://specials-images.forbesimg.com/imageserve/580a34b431358e238315ebe2/416x416.jpg?background=000000&cropX1=0&cropX2=1246&cropY1=0&cropY2=1246
469,469,CLP Holdings,clp-holdings,clp-holdings,Electric Utilities,Hong Kong,10233.0,26760.0,Hong Kong,,Richard Kendall Lancaster,,1637.5,26567.0,
470,470,Thomson Reuters,thomson-reuters,thomson-reuters,Printing & Publishing,United States,11172.0,31352.0,New York,New York,Jim Smith,http://specials-images.forbesimg.com/imageserve/5841fec94bbe6f1f20e84437/280x425.jpg?fit=scale&background=000000,1101.0,27852.0,http://specials-images.forbesimg.com/imageserve/5841fec94bbe6f1f20e84437/416x416.jpg?background=000000&cropX1=73&cropX2=1646&cropY1=325&cropY2=1897
471,471,Kering,kering,kering,Apparel/Accessories,France,13700.0,33671.0,France,,François-Henri Pinault,,912.7,25461.0,
472,472,Colgate-Palmolive,colgate-palmolive,colgate-palmolive,Household/Personal Care,United States,15195.0,64944.0,New York,New York,Ian M. Cook,http://specials-images.forbesimg.com/imageserve/580f956ca7ea435b91b076ba/280x425.jpg?fit=scale&background=000000,2441.0,12123.0,http://specials-images.forbesimg.com/imageserve/57ffacf04bbe6f19f2b51aef/416x416.jpg?background=000000&cropX1=201&cropX2=1932&cropY1=206&cropY2=1936
473,472,Richemont,richemont,richemont,Specialty Stores,Switzerland,11483.0,44337.0,Switzerland,,Nicolas Bos,,1140.5,22610.0,
474,474,Shin-Etsu Chemical,shin-etsu-chemical,shin-etsu-chemical,Diversified Chemicals,Japan,11284.0,36212.0,Japan,,Chihiro Kanagawa,,1542.9,20991.0,
475,475,Mapfre,mapfre,mapfre,Diversified Insurance,Spain,23302.0,10515.0,Spain,,Antonio Huertas Mejías,,857.9,67449.0,
476,475,Poste Italiane,poste-italiane,no-pic,Life & Health Insurance,Italy,36558.0,8639.0,Italy,,Matteo del Fante,,688.1,203783.0,
477,477,Aisin Seiki,aisin-seiki,aisin-seiki,Auto & Truck Parts,Japan,31706.0,13159.0,Japan,,Kanshiro Toyoda,,1098.7,27694.0,
478,478,Mitsubishi,mitsubishi,no-pic,Trading Companies,Japan,57046.0,34711.0,Japan,,Ken Kobayashi,,-164.2,129113.0,
479,479,Mitsubishi Estate,mitsubishi-estate,mitsubishi-estate,Real Estate,Japan,10322.0,25434.0,Japan,,Junichi Yoshida,,868.6,46337.0,
480,479,PPL,ppl,ppl,Electric Utilities,United States,7517.0,25373.0,Pennsylvania,Pennsylvania,William H. Spence,,1896.0,38315.0,
481,481,Waste Management,waste-management,waste-management,Environmental & Waste,United States,13609.0,32344.0,Texas,Texas,"James C. Fish, Jr.",,1182.0,21323.0,
482,482,Micron Technology,micron-technology,micron-technology,Semiconductors,United States,14733.0,31552.0,Idaho,Idaho,Sanjay Mehrotra,,689.0,32355.0,
483,483,Larsen & Toubro,larsen-toubro,larsen-toubro,Construction Services,India,15697.0,24503.0,India,,Anil Manibhai,,814.1,29773.0,
484,484,Aegon,aegon,aegon,Diversified Insurance,Netherlands,36610.0,9958.0,Netherlands,,Alexander Rijn Wynaendts,,501.1,437433.0,
485,485,Teva Pharmaceutical,teva-pharmaceutical,teva-pharmaceutical,Pharmaceuticals,Israel,21895.0,32422.0,Israel,,Yitzhak Peterburg,,336.9,92890.0,
486,486,Compass Group,compass-group,compass-group,Restaurants,United Kingdom,27823.0,31115.0,United Kingdom,,Richard John Cousins,,1407.8,13694.0,
487,487,Suncor Energy,suncor-energy,suncor-energy,Oil & Gas Operations,Canada,20233.0,51686.0,Canada,,Steven Walter Williams,,327.6,66144.0,
488,488,EDP-Energias de Portugal,edp-energias-de-portugal,edp-energias-de-portugal,Electric Utilities,Portugal,16145.0,12271.0,Portugal,,António Luís Guerra Nunes Mexia,,1062.6,46497.0,
489,489,Syngenta,syngenta,syngenta,Specialized Chemicals,Switzerland,12785.0,40907.0,Switzerland,,John Ramsay,,1174.9,19540.0,
490,490,Tenaga Nasional,tenaga-nasional,tenaga-nasional,Electric Utilities,Malaysia,10922.0,17435.0,Malaysia,,Azman bin Mohammed,,1727.4,30912.0,
491,491,Credit Suisse Group,credit-suisse-group,credit-suisse-group,Major Banks,Switzerland,29933.0,30142.0,Switzerland,,Tidjane Thiam,,-2753.8,806672.0,
492,492,Hana Financial Group,hana-financial,hana-financial,Regional Banks,South Korea,11082.0,9654.0,South Korea,,Jung-Tai Kim,,1127.8,288274.0,
493,493,Sampo,sampo,sampo,Diversified Insurance,Finland,6867.0,26458.0,Finland,,Kari Henrik Stadigh,,1825.2,39810.0,
494,494,Bank Mandiri,bank-mandiri,bank-mandiri,Regional Banks,Indonesia,7477.0,21369.0,Indonesia,,Kartika Wirjoatmodjo,,1038.1,77107.0,
495,495,Schlumberger,schlumberger,schlumberger,Oil Services & Equipment,United States,27810.0,109201.0,Texas,Texas,Paal Kibsgaard,,-1687.0,77956.0,
496,496,UniCredit Group,unicredit-group,unicredit-group,Regional Banks,Italy,24420.0,33346.0,Italy,,Jean-Pierre Mustier,,-13042.1,906592.0,
497,497,M&T Bank,mt-bank,mt-bank,Regional Banks,United States,5661.0,23529.0,New York,New York,Robert G. Wilmers,,1304.8,123449.0,
498,497,Thales,thales,thales,Aerospace & Defense,France,16466.0,20594.0,France,,Patrice Caine,,1046.9,23932.0,
499,499,Applied Materials,applied-materials,applied-materials,Semiconductors,United States,11846.0,42038.0,California,California,Gary E. Dickerson,,2138.0,15244.0,
500,500,Royal Bank of Scotland,royal-bank-of-scotland,royal-bank-of-scotland,Major Banks,United Kingdom,21609.0,34971.0,United Kingdom,,Ross Maxwell McEwan,,-7094.6,986859.0,
501,501,SK Telecom,sk-telecom,sk-telecom,Telecommunications services,South Korea,14732.0,16325.0,South Korea,,Jung-Ho Park,,1430.0,25913.0,
502,502,TE Connectivity,te-connectivity,te-connectivity,Electronics,Switzerland,12468.0,25976.0,Switzerland,,Terrence R. Curtin,http://specials-images.forbesimg.com/imageserve/5911fb544bbe6f09a17a9725/280x425.jpg?fit=scale&background=000000,2071.0,17615.0,//specials-images.forbesimg.com/imageserve/5911fb544bbe6f09a17a9725/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
503,503,Caterpillar,caterpillar,caterpillar,Heavy Equipment,United States,38537.0,56021.0,Illinois,Illinois,"Donald James Umpleby, III",http://specials-images.forbesimg.com/imageserve/580f9204a7ea435b91b07672/280x425.jpg?fit=scale&background=000000,-67.0,74704.0,http://specials-images.forbesimg.com/imageserve/57ffa877a7ea4357a3e0206e/416x416.jpg?background=000000&cropX1=639&cropX2=2615&cropY1=4&cropY2=1982
504,504,China Merchants Shekou Industrial Zone Holdings,china-merchants-shekou-industrial-zone-holdings,no-pic,Real Estate,China,8640.0,20841.0,China,,Yong Jun Xu,,1442.2,36079.0,
505,505,Ecolab,ecolab,ecolab,Specialized Chemicals,United States,13022.0,36330.0,Michigan,Michigan,"Douglas M. Baker, Jr.",,1229.6,18330.0,
506,506,H&M,hm,hm,Apparel/Footwear Retail,Sweden,22671.0,39938.0,Sweden,,Karl-Johan Persson,http://specials-images.forbesimg.com/imageserve/580fa2ec31358e23831617fe/280x425.jpg?fit=scale&background=000000,2150.3,10857.0,http://specials-images.forbesimg.com/imageserve/580fa2ec31358e23831617fe/416x416.jpg?background=000000&cropX1=0&cropX2=832&cropY1=0&cropY2=832
507,506,Omnicom Group,omnicom-group,omnicom-group,Advertising,United States,15480.0,20104.0,New York,New York,John D. Wren,,1142.3,23165.0,
508,508,Chinatrust Financial,chinatrust-financial,chinatrust-financial,Regional Banks,Taiwan,10985.0,11825.0,Taiwan,,Yi Kuei Wu,,866.0,150152.0,
509,509,Komatsu,komatsu,komatsu,Heavy Equipment,Japan,15748.0,24277.0,Japan,,Tetsuji Ohashi,,938.9,22957.0,
510,510,Haitong Securities,haitong-securities,haitong-securities,Investment Services,China,6264.0,22872.0,China,,Qiu Ping Qu,,1213.1,80706.0,
511,511,Grupo ACS,grupo-acs,grupo-acs,Construction Services,Spain,36276.0,11168.0,Spain,,Florentino Pérez Rodríguez,,830.8,35200.0,
512,512,Resona Holdings,resona-holdings,resona-holdings,Regional Banks,Japan,6659.0,11669.0,Japan,,Kazuhiro Higashi,,1688.9,410703.0,
513,513,Bharti Airtel,bharti-airtel,bharti-airtel,Telecommunications services,India,14658.0,21445.0,India,,Gopal Vittal,,702.0,34828.0,
514,513,Deutsche Lufthansa,deutsche-lufthansa,deutsche-lufthansa,Airline,Germany,35022.0,7416.0,Germany,,Carsten Spohr,,1964.6,37765.0,
515,515,Al Rajhi Bank,al-rajhi-bank,al-rajhi-bank,Regional Banks,Saudi Arabia,4508.0,27635.0,Saudi Arabia,,Stefano Paolo Bertamini,,2166.5,90546.0,
516,516,Swisscom,swisscom,swisscom,Telecommunications services,Switzerland,11818.0,22501.0,Switzerland,,Urs Schaeppi,,1628.2,21109.0,
517,517,Couche Tard,couche-tard,couche-tard,Food Retail,Canada,35668.0,25856.0,Canada,,Brian P. Hannasch,,1138.7,13785.0,
518,517,Loews,loews,loews,Diversified Insurance,United States,12994.0,15905.0,New York,New York,Jim Tisch,,654.0,76594.0,
519,519,ConocoPhillips,conocophillips,conocophillips,Oil & Gas Operations,United States,23848.0,61283.0,Texas,Texas,Ryan M. Lance,,-3615.0,89772.0,
520,520,Baxter International,baxter-international,baxter-international,Medical Equipment & Supplies,United States,10163.0,28610.0,Illinois,Illinois,Joe Almeida,,4946.0,15546.0,
521,521,Praxair,praxair,praxair,Specialized Chemicals,United States,10534.0,33905.0,Connecticut,Connecticut,Stephen F. Angel,,1500.0,19332.0,
522,522,Kyocera,kyocera,kyocera,Electronics,Japan,12895.0,19884.0,Japan,,Goro Yamaguchi,,1108.0,26518.0,
523,523,Garanti Bank,garanti-bank,garanti-bank,Regional Banks,Turkey,9190.0,10192.0,Turkey,,Ali Fuat Erbil,,1656.5,88096.0,
524,524,China Unicom,china-unicom,china-unicom,Telecommunications services,Hong Kong,41303.0,33778.0,Hong Kong,,Xiao Chu Wang,,101.6,88860.0,
525,525,CIC Group,cic-group,cic-group,Regional Banks,France,11712.0,7882.0,France,,Alain Fradin,,1301.2,304789.0,
526,526,Kubota,kubota,kubota,Heavy Equipment,Japan,14689.0,18470.0,Japan,,Masatoshi Kimata,,1219.3,22897.0,
527,527,Isbank,isbank,isbank,Regional Banks,Turkey,11652.0,7907.0,Turkey,,Adnan Bali,,1751.9,118024.0,
528,528,Astellas Pharma,astellas-pharma,astellas-pharma,Pharmaceuticals,Japan,12080.0,27980.0,Japan,,Yoshihiko Hatanaka,,1913.7,15895.0,
529,529,CNOOC,cnooc,cnooc,Oil & Gas Operations,Hong Kong,22027.0,54818.0,Hong Kong,,Guang Yu Yuan,,95.9,91759.0,
530,530,Simon Property Group,simon-property-group,simon-property-group,Real Estate,United States,5426.0,53039.0,Indiana,Indiana,David E. Simon,,1754.3,31104.0,
531,531,ASML Holding,asml-holding,asml-holding,Semiconductors,Netherlands,7516.0,56800.0,Netherlands,,Peter T. F. M. Wennink,,1722.3,19742.0,
532,531,British Sky Broadcasting,british-sky-broadcasting,british-sky-broadcasting,Broadcasting & Cable,United Kingdom,17078.0,20642.0,United Kingdom,,David Jeremy Darroch,,847.4,22851.0,
533,533,Cummins,cummins,cummins,Heavy Equipment,United States,17526.0,25102.0,Indiana,Indiana,Tom Linebarger,,1394.0,15011.0,
534,534,China Zheshang Bank,china-zheshang-bank,no-pic,Regional Banks,China,8077.0,9754.0,China,,Ren Shen,,1527.2,194981.0,
535,535,Standard Chartered,standard-chartered,standard-chartered,Major Banks,United Kingdom,19433.0,30249.0,United Kingdom,,Bill Winters,,-247.0,646692.0,
536,536,Tokyo Electric Power,tokyo-electric-power,tokyo-electric-power,Electric Utilities,Japan,50161.0,6135.0,Japan,,Fumio Sudo,,1019.5,105532.0,
