position,rank,name,uri,imageUri,industry,country,revenue,marketValue,headquarters,state,ceo,thumbnail,profits,assets,squareImage
1044,1044,London Stock Exchange,london-stock-exchange,london-stock-exchange,Investment Services,United Kingdom,2244.0,14036.0,United Kingdom,,Xavier Rolet,,205.0,697890.0,
1045,1045,Amadeus IT Group,amadeus-it-group,amadeus-it-group,Software & Programming,Spain,4948.0,21820.0,Spain,,Luis Maroto Camino,,913.2,8274.0,
1046,1046,Arconic,arconic,arconic,Aluminum,United States,12393.0,11635.0,New York,New York,David Peter Hess,,-941.0,20038.0,
1047,1047,Zoetis,zoetis,zoetis,Pharmaceuticals,United States,4888.0,25833.0,New Jersey,New Jersey,Juan Ramón Alaix,,821.0,7649.0,
1048,1048,Helvetia Holding,helvetia-holding,helvetia-holding,Diversified Insurance,Switzerland,9494.0,5394.0,Switzerland,,Philipp Gmür,,382.3,54485.0,
1049,1049,Advanced Semiconductor,advanced-semiconductor,advanced-semiconductor,Semiconductors,Taiwan,8523.0,10048.0,Taiwan,,Hung Pen Chang,,691.9,11106.0,
1050,1049,Yamaha Motor,yamaha-motor,yamaha-motor,Recreational Products,Japan,13831.0,7960.0,Japan,,Hiroyuki Yanagi,,581.2,11307.0,
1051,1051,Alleghany,alleghany,alleghany,Property & Casualty Insurance,United States,6149.0,9444.0,New York,New York,"Weston M. Hicks, CFA",,456.9,24141.0,
1052,1052,Crown Castle International,crown-castle-international,crown-castle-international,Telecommunications services,United States,3921.0,34148.0,Texas,Texas,Jay A. Brown,,357.0,22675.0,
1053,1052,ZTE,zte,zte,Communications Equipment,China,15081.0,9941.0,China,,Xian Zhao,,-329.0,20382.0,
1054,1054,Grupo Inbursa,grupo-inbursa,grupo-inbursa,Regional Banks,Mexico,3271.0,11177.0,Mexico,,Javier Foncerrada Izquierdo,,665.0,25832.0,
1055,1054,Inter Rao,inter-rao,inter-rao,Electric Utilities,Russia,12959.0,7496.0,Russia,,Boris Yuryevich Kovalchuk,,906.9,9336.0,
1056,1056,Newmont Mining,newmont-mining,newmont-mining,Diversified Metals & Mining,United States,7650.0,18236.0,Colorado,Colorado,Gary J. Goldberg,,-27.0,21031.0,
1057,1057,AES,aes,aes,Electric Utilities,United States,13692.0,7279.0,Virginia,Virginia,Andrés Ricardo Gluski Weilert,,-1135.0,36119.0,
1058,1058,Oneok,oneok,oneok,Oil Services & Equipment,United States,8895.0,11851.0,Oklahoma,Oklahoma,Terry K. Spencer,,352.0,16139.0,
1059,1059,Schroders,schroders,schroders,Investment Services,United Kingdom,3129.0,10902.0,United Kingdom,,Peter Harrison,,661.4,25927.0,
1060,1060,C.H. Robinson,ch-robinson,ch-robinson,Other Transportation,United States,13144.0,10737.0,Minnesota,Minnesota,John P. Wiehoff,http://specials-images.forbesimg.com/imageserve/591366134bbe6f6c4b152195/280x425.jpg?fit=scale&background=000000,513.4,3688.0,//specials-images.forbesimg.com/imageserve/591366134bbe6f6c4b152195/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
1061,1061,Quest Diagnostics,quest-diagnostics,quest-diagnostics,Healthcare Services,United States,7515.0,13419.0,New Jersey,New Jersey,Stephen H. Rusckowski,http://specials-images.forbesimg.com/imageserve/5aea245231358e612fb7cd05/280x425.jpg?fit=scale&background=000000,641.0,10100.0,//specials-images.forbesimg.com/imageserve/5aea245231358e612fb7cd05/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
1062,1062,Mitsubishi UFJ Lease,mitsubishi-ufj-lease,mitsubishi-ufj-lease,Rental & Leasing,Japan,7639.0,4343.0,Japan,,Tadashi Shiraishi,,491.5,44211.0,
1063,1063,Expedia,expedia,expedia,Business & Personal Services,United States,8774.0,18949.0,Washington,Washington,Dara Khosrowshahi,http://specials-images.forbesimg.com/imageserve/579904064bbe6f17e8fbbbf7/280x425.jpg?fit=scale&background=000000,268.6,15778.0,http://specials-images.forbesimg.com/imageserve/579904064bbe6f17e8fbbbf7/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
1064,1064,Boston Properties,boston-properties,boston-properties,Real Estate,United States,2610.0,20719.0,Massachusetts,Massachusetts,Owen D. Thomas,,510.8,18852.0,
1065,1065,Beijing Enterprises,beijing-enterprises,beijing-enterprises,Natural Gas Utilities,Hong Kong,7209.0,6611.0,Hong Kong,,Si Zhou,,803.3,18665.0,
1066,1066,Restaurant Brands International,restaurant-brands-international,restaurant-brands-international,Restaurants,Canada,4143.0,13136.0,Canada,,Daniel S. Schwartz,,675.0,19125.0,
1067,1067,Analog Devices,analog-devices,analog-devices,Semiconductors,United States,3636.0,29211.0,Massachusetts,Massachusetts,Vincent T. Roche,,914.3,10203.0,
1068,1068,Liberty Expedia Holdings,liberty-expedia-holdings,liberty-expedia-holdings,Business & Personal Services,United States,1581.0,2600.0,Colorado,Colorado,Christopher W. Shean,,2292.0,34589.0,
1069,1069,KPN,kpn,kpn,Telecommunications services,Netherlands,7523.0,12604.0,Netherlands,,Eelco Blok,,399.3,15543.0,
1070,1070,GS Holdings,gs-holdings,gs-holdings,Oil & Gas Operations,South Korea,11632.0,4790.0,South Korea,,Chang-Soo Huh,,694.5,16842.0,
1071,1071,OTP Bank,otp-bank,otp-bank,Regional Banks,Hungary,3699.0,7921.0,Hungary,,Sándor Csányi,,718.2,38615.0,
1072,1071,Roper Technologies,roper-technologies,roper-technologies,Other Industrial Equipment,United States,3790.0,21211.0,Florida,Florida,Brian D. Jellison,,658.6,14325.0,
1073,1073,Host Hotels & Resorts,host-hotels-resorts,host-hotels-resorts,Real Estate,United States,5430.0,13528.0,Maryland,Maryland,James F. Risoleo,,762.0,11408.0,
1074,1074,Asustek Computer,asustek-computer,asustek-computer,Computer Hardware,Taiwan,14474.0,7252.0,Taiwan,,Chen Lai Shen,,595.4,11301.0,
1075,1075,Interpublic Group,interpublic-group,interpublic-group,Advertising,United States,7847.0,9515.0,New York,New York,Michael Isor Roth,,608.5,12485.0,
1076,1076,QuintilesIMS,iqvia-holdings,iqvia-holdings,Pharmaceuticals,United States,6888.0,18679.0,North Carolina,North Carolina,Ari Bousbib,,114.6,21208.0,
1077,1076,Tata Steel,tata-steel,tata-steel,Iron & Steel,India,16141.0,7455.0,India,,Cyrus Mistry,,-443.7,25682.0,
1078,1078,Bankinter,bankinter,bankinter,Regional Banks,Spain,2236.0,7609.0,Spain,,María Dolores Dancausa Treviño,,542.2,70861.0,
1079,1079,Campbell Soup,campbell-soup,campbell-soup,Food Processing,United States,7930.0,17170.0,New Jersey,New Jersey,Denise M. Morrison,,497.0,7570.0,
1080,1080,Osaka Gas,osaka-gas,osaka-gas,Natural Gas Utilities,Japan,10902.0,7952.0,Japan,,Hiroshi Ozaki,,459.0,14850.0,
1081,1081,First Financial Holding,first-financial-holding,first-financial-holding,Regional Banks,Taiwan,1828.0,7314.0,Taiwan,,Mei Ling Cheng,,538.2,78847.0,
1082,1082,Lotte Shopping,lotte-shopping,lotte-shopping,Department Stores,South Korea,25450.0,5744.0,South Korea,,In-Won Lee,,133.9,34704.0,
1083,1083,Vienna Insurance Group,vienna-insurance-group,vienna-insurance-group,Diversified Insurance,Austria,10404.0,3088.0,Austria,,Elisabeth Stadler,,321.0,51803.0,
1084,1084,SMC,smc-corp,smc-corp,Other Industrial Equipment,Japan,4301.0,19124.0,Japan,,Yoshiyuki Takada,,938.0,10199.0,
1085,1085,Investec,investec,investec,Investment Services,United Kingdom,4838.0,6307.0,United Kingdom,,Stephen Koseff,,538.5,68170.0,
